0 bytes,8 bytes,32 bytes,256 bytes,512 bytes,1024 bytes,4096 bytes,8192 bytes
39000,40300,39900,40300,40000,41200,42600,48900
39000,40300,39900,40300,40000,41200,42600,48900
39000,40300,39900,40300,40000,41200,42700,48900
39000,40300,39900,40300,40100,41200,42700,49000
39100,40300,39900,40300,40100,41200,42700,49000
39100,40300,39900,40300,40100,41200,42700,49000
39100,40300,39900,40300,40100,41200,42700,49000
39100,40300,39900,40300,40100,41200,42700,49000
39100,40300,39900,40300,40100,41200,42700,49000
39100,40400,39900,40300,40100,41200,42700,49000
39100,40400,39900,40300,40100,41200,42700,49000
39100,40400,39900,40300,40100,41200,42700,49000
39100,40400,39900,40300,40100,41200,42700,49000
39100,40400,39900,40300,40100,41200,42700,49100
39200,40400,39900,40300,40100,41200,42700,49100
39200,40400,39900,40300,40100,41200,42700,49100
39200,40400,39900,40300,40100,41200,42700,49100
39200,40400,39900,40400,40100,41200,42700,49100
39200,40400,39900,40400,40100,41200,42700,49200
39200,40400,39900,40400,40100,41200,42700,49200
39300,40400,39900,40400,40100,41200,42700,49200
39300,40400,39900,40400,40100,41200,42700,49200
39300,40400,39900,40400,40100,41200,42800,49200
39300,40400,39900,40400,40100,41200,42800,49200
39300,40400,39900,40400,40100,41200,42800,49200
39300,40400,39900,40400,40100,41200,42800,49200
39300,40400,39900,40400,40100,41200,42800,49200
39300,40400,39900,40400,40100,41200,42800,49200
39300,40400,40000,40400,40100,41200,42800,49200
39300,40400,40000,40400,40100,41200,42800,49300
39300,40400,40000,40400,40100,41200,42800,49300
39400,40400,40000,40400,40100,41200,42800,49300
39400,40400,40000,40400,40100,41300,42800,49300
39400,40400,40000,40400,40100,41300,42800,49300
39400,40400,40000,40400,40100,41300,42800,49300
39400,40400,40000,40400,40100,41300,42800,49400
39400,40400,40000,40400,40100,41300,42800,49400
39400,40400,40000,40400,40100,41300,42800,49400
39400,40400,40000,40400,40100,41300,42800,49400
39400,40400,40000,40400,40100,41300,42800,49400
39400,40400,40000,40400,40100,41300,42800,49400
39400,40400,40000,40400,40100,41300,42800,49400
39400,40400,40000,40400,40100,41300,42800,49400
39500,40400,40000,40400,40100,41300,42800,49400
39500,40400,40000,40400,40100,41300,42800,49500
39500,40400,40000,40400,40100,41300,42800,49500
39500,40400,40000,40400,40100,41300,42800,49500
39500,40400,40000,40400,40100,41300,42800,49500
39500,40400,40000,40400,40100,41300,42800,49500
39500,40400,40000,40400,40100,41300,42900,49500
39500,40400,40000,40400,40100,41300,42900,49500
39500,40400,40000,40400,40100,41300,42900,49500
39500,40400,40000,40400,40100,41300,42900,49500
39500,40400,40000,40400,40100,41300,42900,49600
39500,40400,40000,40400,40100,41300,42900,49600
39500,40400,40000,40400,40100,41300,42900,49600
39500,40400,40000,40400,40100,41300,42900,49600
39500,40400,40000,40400,40100,41300,42900,49600
39500,40400,40000,40400,40100,41300,42900,49600
39500,40400,40000,40400,40100,41300,42900,49600
39600,40400,40000,40400,40100,41300,42900,49600
39600,40400,40000,40400,40100,41300,42900,49600
39600,40400,40000,40400,40100,41300,42900,49600
39600,40400,40000,40400,40100,41300,42900,49600
39600,40400,40000,40400,40100,41300,42900,49600
39600,40400,40000,40400,40100,41300,42900,49600
